Ecu Id:
#time,engine-rpm,coolant_temp,ambient_temp,intake_air_temp,fuel_temp,map_kpa,battery_voltage,throttle_pot_voltage,idle_switch,uk1,park_neutral_switch,fault_codes,idle_set_point,idle_hot,uk2,iac_position,idle_error,ignition_advance_offset,ignition_advance,coil_time,crancs,uk4,uk5,ignition_switch,throttle_angle,uk6,air_fuel_ratio,fault_code0,lambda_voltage_mv,lambda_sensor_frequency,lambda_sensor_dutycycle,lambda_sensor_status,closed_loop,long_term_fuel_trim,short_term_fuel_trim,carbon_canister_dutycycle,fault_code1,idle_base_pos,uk7,uk8,ignition_advance2,uk9,idle_error2,uk10,fault_code4,uk11,uk12,uk13,uk14,uk15,uk16,uk17,uk18,uk19
18:50:50,1796,45,57,18,57,34,13.2,0.68,0,0,1,0,32,55,135,131,327,5,19.5,3.032,16,0,0,16,22,255,146,64,20,255,255,1,1,121,100,0,255,120,255,255,53,136,129,61,255,19,64,21,128,26,0,41,192,42
18:50:51,1733,45,57,18,57,24,13.2,0.52,0,0,1,0,32,55,135,120,172,5,15.5,3.032,16,0,0,16,15,255,146,64,180,255,255,1,1,121,99,0,255,120,255,255,53,136,127,242,255,19,64,21,128,26,0,41,192,42
18:50:51,1371,45,57,18,57,26,13.2,0.52,0,0,1,0,32,55,135,124,161,5,14,3.044,16,0,0,16,16,255,146,64,182,255,255,1,1,121,98,0,255,120,255,255,53,136,127,13,255,19,64,21,128,26,0,41,192,42
18:50:52,1196,45,57,18,57,35,13.2,0.58,0,0,1,0,32,55,135,133,314,5,14,3.034,16,0,0,16,18,255,146,64,50,255,255,1,1,121,99,0,255,120,255,255,53,136,126,176,255,19,64,21,128,26,0,41,192,42
18:50:52,1148,45,57,18,57,37,13.2,0.58,0,0,1,0,32,55,135,133,316,5,14,3.026,16,0,0,16,18,255,146,64,26,255,255,1,1,121,100,0,255,120,255,255,53,136,126,247,255,19,64,21,128,26,0,41,192,42
18:50:53,1229,45,57,18,57,35,13.2,0.58,0,0,1,0,32,55,135,133,208,5,14,3.026,16,0,0,16,18,255,146,64,21,255,255,1,1,121,100,0,255,120,255,255,53,136,127,64,255,19,64,21,128,26,0,41,192,42
18:50:53,1292,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,133,171,5,14,3.032,16,0,0,16,18,255,146,64,21,255,255,1,1,121,101,0,255,120,255,255,53,136,127,105,255,19,64,21,128,26,0,41,192,42
18:50:53,1323,45,57,18,57,34,13.2,0.58,0,0,1,0,32,55,135,133,143,5,14,3.016,16,0,0,16,18,255,146,64,168,255,255,1,1,121,99,0,255,120,255,255,53,136,127,95,255,19,64,21,128,26,0,41,192,42
18:50:54,1306,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,133,169,5,14,3.026,16,0,0,16,18,255,146,64,157,255,255,1,1,121,99,0,255,120,255,255,53,136,127,97,255,19,64,21,128,26,0,41,192,42
18:50:54,1304,45,57,18,57,33,13.2,0.58,0,0,1,0,32,55,135,133,174,5,14,3.02,16,0,0,16,18,255,146,64,35,255,255,1,1,121,100,0,255,120,255,255,53,136,127,92,255,19,64,21,128,26,0,41,192,42
